Champ1,Champ2,Champ3,Champ4,Champ5,Games,Wins
Aatrox,Mordekaiser,,,,161,80
Kayn,Mel,,,,1829,915
Trundle,Volibear,,,,399,233
Ivern,Rengar,,,,94,41
Rengar,Zoe,,,,101,45
Ivern,Zoe,,,,79,35
Aphelios,Ivern,,,,120,62
Aphelios,Zoe,,,,204,102
Milio,Zoe,,,,169,95
Shyvana,Varus,,,,217,93
Tristana,Varus,,,,389,186
Irelia,Shyvana,,,,178,87
Leona,Shyvana,,,,204,100
Aatrox,Nocturne,,,,920,434
Aatrox,Vex,,,,429,209
Nocturne,Vex,,,,511,266
Varus,Vex,,,,450,221
Morgana,Vex,,,,394,193
Jax,Zac,,,,277,132
Heimerdinger,Jax,,,,239,120
Heimerdinger,Zac,,,,166,79
Heimerdinger,Vayne,,,,362,181
Heimerdinger,Lulu,,,,379,216
JarvanIV,Morgana,,,,531,280
Cassiopeia,Morgana,,,,207,104
Ahri,Morgana,,,,1386,722
Cassiopeia,Draven,,,,144,79
Chogath,Mordekaiser,,,,371,191
Chogath,Sivir,,,,337,173
Olaf,Sejuani,,,,73,42
Ashe,Olaf,,,,312,145
Morgana,Olaf,,,,272,131
Morgana,Sejuani,,,,329,159
Akali,Irelia,,,,513,243
Akali,TahmKench,,,,486,230
Mel,Yuumi,,,,648,275
Kennen,Sejuani,,,,109,49
Kennen,Zyra,,,,165,88
Garen,Rammus,,,,265,130
Irelia,Rammus,,,,208,99
Annie,Jayce,,,,134,70
Annie,Zed,,,,205,103
Annie,Yuumi,,,,212,109
Twitch,Yuumi,,,,1087,538
Mordekaiser,RekSai,,,,77,47
RekSai,Sivir,,,,46,23
Lulu,RekSai,,,,151,75
Sivir,Trundle,,,,252,133
Diana,Malzahar,,,,530,275
Diana,Yuumi,,,,904,443
Malzahar,Yuumi,,,,742,349
Mordekaiser,Poppy,,,,412,218
Mordekaiser,Sion,,,,264,144
Nami,Sion,,,,723,358
Camille,Udyr,,,,87,47
Camille,Vayne,,,,251,126
Udyr,Vayne,,,,297,152
Darius,Kled,,,,75,34
Kled,Orianna,,,,78,40
Janna,Kled,,,,60,34
Darius,Orianna,,,,677,350
Janna,Sivir,,,,254,131
Aurora,Yorick,,,,525,282
Kindred,Vi,,,,33,19
Pyke,Warwick,,,,826,408
Poppy,Sett,,,,428,194
Poppy,Sylas,,,,700,358
Fiora,Fizz,,,,215,111
Fizz,Naafiri,,,,491,250
JarvanIV,Vex,,,,285,140
Pantheon,Shyvana,,,,223,123
Pantheon,Zoe,,,,454,246
Pantheon,Sona,,,,269,145
Shyvana,Zoe,,,,83,41
MissFortune,Shyvana,,,,551,293
Sona,Zoe,,,,130,62
Ekko,Singed,,,,206,100
Karma,Singed,,,,275,142
Katarina,Volibear,,,,693,317
Katarina,Zilean,,,,169,92
Brand,Katarina,,,,454,209
Smolder,Volibear,,,,862,449
Lux,Swain,,,,823,398
Gragas,Trundle,,,,111,51
FiddleSticks,Sion,,,,399,211
Camille,Mel,,,,437,198
Mel,TahmKench,,,,583,282
TahmKench,Vayne,,,,549,279
Gragas,Jax,,,,174,75
Sylas,TahmKench,,,,642,319
Katarina,Soraka,,,,347,191
LeeSin,Smolder,,,,890,456
LeeSin,Sona,,,,329,164
Jinx,Kled,,,,324,170
Kled,Lux,,,,329,159
Ahri,Zac,,,,697,357
Aatrox,Fizz,,,,410,211
Aatrox,Nilah,,,,200,112
Fizz,Nilah,,,,149,66
Nilah,Rell,,,,131,72
Mordekaiser,Shen,,,,226,114
Shen,Taric,,,,61,30
Mordekaiser,Warwick,,,,974,537
Taric,Warwick,,,,184,104
Mordekaiser,Taric,,,,189,102
Cassiopeia,Zeri,,,,107,60
Nami,Zeri,,,,256,133
Shyvana,Volibear,,,,135,66
Viego,Yorick,,,,944,490
Heimerdinger,Pyke,,,,298,159
Briar,Tryndamere,,,,224,125
Tryndamere,Xerath,,,,451,212
Tryndamere,Vayne,,,,419,232
Briar,Xerath,,,,489,277
Briar,Vayne,,,,550,284
Briar,Swain,,,,421,237
Swain,Xerath,,,,384,191
Swain,Vayne,,,,731,398
Illaoi,Senna,,,,265,141
Kayn,Tryndamere,,,,562,282
Karma,Tryndamere,,,,358,170
Ornn,Smolder,,,,256,143
Milio,Warwick,,,,543,302
Gangplank,Kindred,,,,165,82
Akshan,Gangplank,,,,87,46
Kindred,Thresh,,,,463,250
FiddleSticks,Zyra,,,,249,118
Mel,Zyra,,,,752,356
Draven,Zyra,,,,342,165
Mordekaiser,Velkoz,,,,521,263
Amumu,Nautilus,,,,630,311
Lissandra,Olaf,,,,78,43
Ezreal,Olaf,,,,472,241
Janna,Lissandra,,,,130,64
Brand,Shen,,,,407,217
Brand,Kayn,,,,985,530
Brand,Leblanc,,,,457,208
Ivern,Kayle,,,,122,56
Ivern,Taliyah,,,,42,21
Ivern,Tristana,,,,283,137
Ivern,Lux,,,,240,109
Fizz,Veigar,,,,109,55
Fizz,Ziggs,,,,79,34
Camille,Ivern,,,,49,25
Ivern,Soraka,,,,61,27
Rengar,Volibear,,,,186,88
DrMundo,Thresh,,,,839,425
Briar,MonkeyKing,,,,83,48
Briar,Fizz,,,,284,160
Fizz,MonkeyKing,,,,241,123
Malphite,Pantheon,,,,947,476
Akshan,Blitzcrank,,,,185,84
Kindred,KogMaw,,,,93,48
Blitzcrank,Kindred,,,,257,132
KogMaw,Leblanc,,,,161,70
Sett,Taliyah,,,,305,143
Galio,Sett,,,,653,352
Galio,Taliyah,,,,101,49
Galio,Nami,,,,603,326
Gangplank,Soraka,,,,269,136
Morgana,Soraka,,,,70,34
Illaoi,Nunu,,,,177,81
Illaoi,Ryze,,,,118,67
Illaoi,Tristana,,,,582,296
Illaoi,Nami,,,,359,189
Ekko,Shaco,,,,618,328
Belveth,Qiyana,,,,41,16
Milio,Qiyana,,,,154,75
Ahri,Belveth,,,,326,154
Belveth,Jinx,,,,414,214
Belveth,Milio,,,,123,55
AurelionSol,Illaoi,,,,143,77
Ashe,AurelionSol,,,,450,220
AurelionSol,Karma,,,,236,122
Maokai,Naafiri,,,,427,224
Ashe,Maokai,,,,481,238
Azir,Yone,,,,297,141
Akali,Vi,,,,939,435
Tristana,Vi,,,,1392,663
Janna,Tryndamere,,,,175,83
Galio,Janna,,,,236,134
Darius,Singed,,,,179,101
Senna,Veigar,,,,571,271
Mordekaiser,Twitch,,,,550,284
Thresh,Zac,,,,529,277
Thresh,Twitch,,,,531,274
Aphelios,Shaco,,,,624,293
Aphelios,Vladimir,,,,405,198
Heimerdinger,Nidalee,,,,80,41
Heimerdinger,Swain,,,,283,152
Nidalee,Samira,,,,185,78
Nidalee,Swain,,,,182,78
Samira,Swain,,,,535,258
Rumble,Udyr,,,,56,32
Neeko,Rumble,,,,111,62
Qiyana,Udyr,,,,74,37
Neeko,Udyr,,,,121,55
Neeko,Qiyana,,,,121,61
Neeko,Xayah,,,,191,92
Kindred,Urgot,,,,196,90
Lillia,Morgana,,,,565,268
JarvanIV,Samira,,,,339,169
Alistar,JarvanIV,,,,317,160
Samira,Veigar,,,,491,287
Alistar,Samira,,,,617,316
MasterYi,Nasus,,,,659,333
Lux,Nasus,,,,1561,796
KSante,Kayn,,,,268,117
Jhin,KSante,,,,654,305
KSante,Mel,,,,349,147
Mordekaiser,Teemo,,,,476,270
Leblanc,Nasus,,,,556,279
Khazix,Shaco,,,,208,104
Naafiri,Shaco,,,,650,316
Jax,Zoe,,,,350,185
Lillia,Sylas,,,,698,371
Lillia,Zoe,,,,212,115
Sylas,Zoe,,,,202,89
RekSai,Yone,,,,135,68
Ezreal,RekSai,,,,226,112
MasterYi,Milio,,,,504,263
JarvanIV,Yasuo,,,,1005,484
Caitlyn,JarvanIV,,,,1318,675
KogMaw,Seraphine,,,,149,64
Diana,Leona,,,,908,468
Nilah,Riven,,,,108,52
Hwei,Naafiri,,,,598,308
Cassiopeia,Hwei,,,,53,29
Hecarim,Kassadin,,,,115,55
Karma,Kassadin,,,,171,78
FiddleSticks,Talon,,,,283,144
Olaf,Sion,,,,56,30
Mordekaiser,Olaf,,,,57,24
Jinx,Olaf,,,,464,237
Khazix,Volibear,,,,267,132
Pyke,Volibear,,,,910,482
Galio,Khazix,,,,397,206
Khazix,Xayah,,,,281,143
Galio,Xayah,,,,401,212
Pyke,Xayah,,,,386,177
Rakan,Veigar,,,,266,152
Cassiopeia,Mel,,,,216,113
Aatrox,Belveth,,,,174,82
Aatrox,Veigar,,,,686,374
Aatrox,Ziggs,,,,296,142
Aatrox,Xerath,,,,1002,502
Belveth,Veigar,,,,165,75
Belveth,Ziggs,,,,66,26
Xerath,Ziggs,,,,197,95
Poppy,Yasuo,,,,833,434
Annie,Poppy,,,,139,71
Malzahar,Poppy,,,,519,261
Annie,Malzahar,,,,68,37
Annie,Maokai,,,,105,53
Kassadin,Shaco,,,,249,117
Kassadin,Lulu,,,,291,148
Amumu,Smolder,,,,495,267
Sett,Syndra,,,,558,300
Mordekaiser,Quinn,,,,200,107
Camille,Smolder,,,,199,100
Sejuani,Smolder,,,,265,126
Azir,Lux,,,,467,221
Malphite,Morgana,,,,902,466
Malphite,Samira,,,,632,326
Hecarim,Twitch,,,,255,107
Pyke,Twitch,,,,376,175
Poppy,Shaco,,,,479,223
Taric,Teemo,,,,168,88
Ashe,Vi,,,,1198,595
Taric,Vi,,,,161,86
Diana,Taric,,,,172,93
Leona,Warwick,,,,919,467
Caitlyn,Rammus,,,,629,333
Hecarim,Yorick,,,,333,155
Quinn,Soraka,,,,163,89
Nocturne,Soraka,,,,563,305
Jinx,Tristana,,,,280,133
Ekko,Kindred,,,,179,103
Graves,Pantheon,,,,465,225
Sion,XinZhao,,,,472,240
Leblanc,Sion,,,,547,281
Evelynn,Xerath,,,,213,101
Heimerdinger,Mordekaiser,,,,218,111
Heimerdinger,TwistedFate,,,,153,76
Heimerdinger,Sona,,,,137,69
Jax,TwistedFate,,,,447,219
Jax,Sona,,,,279,157
Mordekaiser,TwistedFate,,,,353,158
Sona,TwistedFate,,,,180,96
Ivern,Tryndamere,,,,79,42
Ivern,Katarina,,,,113,56
Ivern,Morgana,,,,115,53
Pantheon,Rammus,,,,241,115
Ashe,Rammus,,,,368,181
Jax,Nocturne,,,,660,333
Nocturne,Rell,,,,435,218
Khazix,Shen,,,,307,147
Camille,Qiyana,,,,100,43
Kindred,Xerath,,,,325,164
Kindred,TahmKench,,,,222,101
Lucian,TahmKench,,,,528,242
Darius,Ziggs,,,,437,212
Gwen,Ziggs,,,,205,109
Urgot,Viktor,,,,348,157
Twitch,Urgot,,,,267,134
Blitzcrank,Twitch,,,,273,152
Amumu,Darius,,,,777,406
Amumu,Vayne,,,,747,393
KogMaw,Warwick,,,,273,148
KogMaw,Leona,,,,124,69
Mordekaiser,Nasus,,,,243,125
Mordekaiser,Varus,,,,961,481
Ambessa,Zyra,,,,365,195
Hecarim,Zyra,,,,249,134
Irelia,Viktor,,,,468,242
Irelia,Sivir,,,,317,160
Sivir,Viktor,,,,382,191
Darius,Zyra,,,,1064,520
Amumu,Irelia,,,,571,302
Amumu,Jinx,,,,1655,847
Kayle,Vex,,,,234,106
Trundle,Vex,,,,261,134
Velkoz,Vex,,,,170,84
Camille,Nasus,,,,58,31
Camille,Sona,,,,89,41
Nasus,Sona,,,,242,129
Sona,Vex,,,,172,94
Brand,Thresh,,,,412,203
Nunu,Pyke,,,,314,148
Galio,Irelia,,,,408,206
Galio,Morgana,,,,502,251
Illaoi,Kassadin,,,,71,36
Illaoi,Pyke,,,,268,147
Kassadin,Pyke,,,,152,80
Fizz,Varus,,,,406,215
Senna,Sion,,,,538,260
Caitlyn,Kaisa,,,,254,114
Malphite,Quinn,,,,190,92
FiddleSticks,Swain,,,,311,177
Chogath,Pantheon,,,,736,358
Anivia,Chogath,,,,150,86
Anivia,Katarina,,,,51,26
Shyvana,Yorick,,,,202,122
Nunu,Urgot,,,,219,118
Mel,Veigar,,,,693,319
JarvanIV,Kennen,,,,210,107
LeeSin,Ornn,,,,422,213
Ornn,Tristana,,,,545,262
Ornn,Yuumi,,,,318,159
LeeSin,Yuumi,,,,1228,580
Malphite,Sejuani,,,,237,109
Malphite,Smolder,,,,713,369
Rammus,Urgot,,,,121,61
Aphelios,Urgot,,,,271,134
Galio,Rammus,,,,166,82
Aphelios,Rammus,,,,160,84
Aphelios,Galio,,,,373,196
Jax,Trundle,,,,206,97
Draven,Jax,,,,417,190
Draven,Trundle,,,,252,114
Gnar,Sona,,,,143,82
Poppy,Tryndamere,,,,218,112
Nasus,Volibear,,,,467,253
Nasus,Viktor,,,,513,249
Cassiopeia,Poppy,,,,156,75
Poppy,Sejuani,,,,131,52
Draven,Mordekaiser,,,,546,277
Sett,Vayne,,,,1017,576
Elise,Vayne,,,,343,167
Riven,Vladimir,,,,265,133
Kayn,Sejuani,,,,65,30
Sejuani,Seraphine,,,,219,98
Amumu,Sett,,,,887,474
Amumu,Soraka,,,,375,212
Gangplank,Pyke,,,,359,169
Ambessa,XinZhao,,,,280,134
Akali,Ambessa,,,,392,189
Sona,XinZhao,,,,243,128
Darius,Renata,,,,198,92
FiddleSticks,KogMaw,,,,116,53
FiddleSticks,Renata,,,,58,35
KogMaw,Renata,,,,37,17
Ryze,Tryndamere,,,,184,86
Renekton,Ryze,,,,253,138
LeeSin,Quinn,,,,423,211
Kayn,Renekton,,,,659,330
Akshan,Renekton,,,,145,58
Renekton,Zilean,,,,142,77
Kayn,Zilean,,,,285,155
Darius,Heimerdinger,,,,353,186
Akali,Heimerdinger,,,,256,134
Hecarim,Rumble,,,,133,57
Ryze,Teemo,,,,324,169
Evelynn,Zeri,,,,109,49
Jhin,Zeri,,,,54,23
Katarina,Kindred,,,,220,113
Brand,Kindred,,,,290,139
Lux,Rakan,,,,240,118
AurelionSol,Vladimir,,,,89,43
AurelionSol,Warwick,,,,390,205
AurelionSol,Nami,,,,332,170
Kled,Ryze,,,,59,30
Diana,Kled,,,,176,97
Kled,Morgana,,,,119,54
Maokai,Swain,,,,174,117
Sejuani,Warwick,,,,134,73
Senna,Warwick,,,,773,409
Diana,Sejuani,,,,237,129
Sejuani,Senna,,,,225,106
Ashe,Bard,,,,292,132
XinZhao,Yorick,,,,566,298
Lillia,Warwick,,,,271,155
Lillia,Velkoz,,,,321,172
Evelynn,Volibear,,,,152,86
Evelynn,Vayne,,,,312,148
Morgana,Vayne,,,,967,491
LeeSin,XinZhao,,,,169,76
Caitlyn,XinZhao,,,,1516,745
Ryze,Warwick,,,,418,237
Diana,Gwen,,,,647,313
Diana,Milio,,,,554,290
FiddleSticks,Vex,,,,219,91
FiddleSticks,Yuumi,,,,275,147
Rengar,Vex,,,,123,59
Rengar,Yuumi,,,,271,115
Vex,Zeri,,,,189,89
Jax,Samira,,,,487,223
Amumu,Jax,,,,432,209
Amumu,Samira,,,,523,276
Leona,Renekton,,,,483,234
Caitlyn,Khazix,,,,1329,633
Khazix,Leona,,,,445,224
Blitzcrank,Jax,,,,614,314
Veigar,Xayah,,,,390,219
Jayce,Udyr,,,,140,73
Draven,Jayce,,,,258,130
Hwei,Udyr,,,,167,87
Draven,Udyr,,,,141,71
Rakan,Udyr,,,,107,60
Aatrox,Malphite,,,,333,153
DrMundo,Malphite,,,,360,180
Annie,Malphite,,,,248,138
Malphite,Swain,,,,629,321
Annie,Sejuani,,,,91,36
Lulu,Sejuani,,,,467,229
Annie,Swain,,,,168,88
Lulu,Swain,,,,346,177
Graves,Yasuo,,,,902,436
Graves,Renata,,,,75,31
Irelia,Renata,,,,106,48
Brand,Camille,,,,236,115
Jinx,Varus,,,,339,176
Briar,Sion,,,,341,197
Briar,Soraka,,,,272,129
Galio,Viktor,,,,153,77
Mordekaiser,Xayah,,,,567,281
AurelionSol,Trundle,,,,215,112
Trundle,Xayah,,,,275,135
Soraka,Trundle,,,,231,119
AurelionSol,Xayah,,,,164,88
AurelionSol,Soraka,,,,188,112
Garen,Rengar,,,,357,161
Rengar,Ziggs,,,,85,36
Thresh,Ziggs,,,,317,162
Jax,Naafiri,,,,853,406
Aphelios,Jax,,,,435,188
Aphelios,Naafiri,,,,628,328
Aphelios,Zyra,,,,362,186
Jax,Sett,,,,319,154
Sett,TahmKench,,,,456,238
Jax,TahmKench,,,,341,159
Irelia,Warwick,,,,762,403
Mordekaiser,Yuumi,,,,839,417
Tryndamere,Viktor,,,,394,186
Viktor,Zyra,,,,565,278
Milio,Zyra,,,,90,48
Poppy,Yuumi,,,,222,118
Ekko,Malzahar,,,,362,188
Diana,Volibear,,,,811,422
Leona,Volibear,,,,844,419
Diana,Nocturne,,,,512,282
Kalista,Nocturne,,,,229,107
Diana,Kalista,,,,203,95
Kalista,Leona,,,,231,118
Amumu,Garen,,,,900,486
Amumu,Veigar,,,,630,368
Amumu,Zeri,,,,272,140
Amumu,Nami,,,,641,356
Veigar,Zeri,,,,243,120
Sejuani,Yorick,,,,286,159
Nautilus,Sejuani,,,,345,160
Braum,Cassiopeia,,,,182,89
Jax,Jayce,,,,166,81
Graves,Jayce,,,,528,265
Leona,Sett,,,,876,445
DrMundo,Leona,,,,554,289
Leona,Veigar,,,,615,330
Leona,Swain,,,,260,139
Rengar,Tryndamere,,,,124,66
Hwei,Tryndamere,,,,265,126
Corki,Tryndamere,,,,154,78
Tryndamere,Zilean,,,,131,54
Hwei,Rengar,,,,159,67
Corki,Hwei,,,,159,78
Belveth,Ryze,,,,88,53
Belveth,Vayne,,,,196,100
Belveth,Lux,,,,390,185
Ryze,Vayne,,,,416,209
Darius,Hecarim,,,,403,180
Renekton,Yone,,,,597,285
MissFortune,RekSai,,,,165,74
Gwen,Xerath,,,,843,422
Malzahar,Sett,,,,1124,599
Malzahar,Zilean,,,,280,139
Karthus,Viktor,,,,137,66
Karthus,Tristana,,,,405,188
Evelynn,Gangplank,,,,169,84
Ashe,Evelynn,,,,370,171
Mordekaiser,Pyke,,,,870,433
Akali,Pyke,,,,766,380
Jax,Qiyana,,,,180,81
Nunu,Sett,,,,473,249
Nunu,Twitch,,,,240,101
Morgana,Nunu,,,,366,176
Fizz,Leona,,,,434,210
Briar,Renekton,,,,274,134
Evelynn,Tryndamere,,,,151,71
Akali,Tryndamere,,,,383,174
Blitzcrank,Tryndamere,,,,321,160
Akali,Evelynn,,,,232,111
Ryze,Swain,,,,247,125
Kayn,Warwick,,,,437,228
Kayn,Neeko,,,,554,284
Malphite,Veigar,,,,783,411
Akshan,Kennen,,,,109,47
Kennen,Neeko,,,,115,58
Akshan,Rammus,,,,62,30
Neeko,Rammus,,,,129,71
Akshan,Neeko,,,,125,69
Aatrox,Yasuo,,,,1194,587
Brand,Viego,,,,750,393
KSante,Khazix,,,,161,82
KSante,Soraka,,,,144,72
Hwei,Pantheon,,,,555,299
MissFortune,Varus,,,,421,185
Gragas,Irelia,,,,288,136
Alistar,Fiora,,,,279,135
Briar,Katarina,,,,376,184
Alistar,Katarina,,,,327,170
Fiora,MasterYi,,,,372,186
MonkeyKing,Trundle,,,,157,77
Karma,Trundle,,,,360,181
Nami,Nocturne,,,,911,499
Gnar,Lucian,,,,522,266
Malphite,Vi,,,,856,426
Malphite,Zyra,,,,705,369
Vi,Zyra,,,,583,312
Ornn,Pyke,,,,243,109
Neeko,Teemo,,,,475,241
Katarina,Vayne,,,,717,343
Shaco,Xerath,,,,944,459
Shyvana,Trundle,,,,101,47
Shyvana,Vayne,,,,252,141
Mel,Shyvana,,,,341,160
Malzahar,Vayne,,,,1067,583
Quinn,Vladimir,,,,190,110
Quinn,Swain,,,,291,146
Jayce,Rammus,,,,177,92
Brand,Rammus,,,,206,112
Graves,Sylas,,,,1039,566
MissFortune,TahmKench,,,,1188,610
Kayle,Sylas,,,,599,312
Kayle,Pyke,,,,468,240
Elise,Pyke,,,,204,98
LeeSin,Shaco,,,,538,260
LeeSin,Taric,,,,167,86
Ahri,Taric,,,,257,136
Hecarim,Malzahar,,,,409,195
Diana,Maokai,,,,417,208
Leblanc,Maokai,,,,295,127
MonkeyKing,Udyr,,,,54,32
Cassiopeia,Udyr,,,,77,35
Senna,Udyr,,,,212,111
Caitlyn,Singed,,,,747,357
Bard,Singed,,,,117,56
Elise,Skarner,,,,32,18
Samira,Skarner,,,,58,26
Shen,Skarner,,,,52,20
Akali,Elise,,,,302,124
Elise,Shen,,,,238,108
Hwei,Mordekaiser,,,,453,231
Braum,Volibear,,,,641,333
Hwei,Jinx,,,,1052,513
Nasus,Yorick,,,,512,274
Heimerdinger,Thresh,,,,403,198
Camille,Leblanc,,,,311,151
Camille,Xayah,,,,198,117
Malphite,Mordekaiser,,,,458,232
JarvanIV,Riven,,,,298,146
Kalista,Soraka,,,,80,40
Syndra,Vi,,,,524,281
Syndra,Zyra,,,,345,175
Illaoi,Malphite,,,,188,95
Annie,Illaoi,,,,106,67
Ezreal,Illaoi,,,,658,321
Annie,Seraphine,,,,154,78
Ryze,Zac,,,,167,93
Naafiri,Poppy,,,,527,259
Fiora,Rakan,,,,215,100
Corki,Jinx,,,,137,65
Chogath,Draven,,,,353,176
Chogath,Renata,,,,103,45
Draven,Renata,,,,111,55
Lucian,Skarner,,,,167,63
Nami,Skarner,,,,137,55
Khazix,Mordekaiser,,,,579,286
Cassiopeia,Mordekaiser,,,,165,87
Brand,Mordekaiser,,,,718,358
Cassiopeia,Khazix,,,,195,100
Khazix,MissFortune,,,,1120,571
AurelionSol,Riven,,,,151,72
AurelionSol,Zac,,,,137,59
Tristana,Zac,,,,747,366
AurelionSol,Tristana,,,,476,234
Fiora,Ziggs,,,,142,68
Sejuani,Shaco,,,,140,72
Sejuani,Talon,,,,107,49
Smolder,Talon,,,,417,211
Aurora,Hecarim,,,,213,93
Aurora,Azir,,,,35,12
Azir,Hecarim,,,,189,76
Azir,Senna,,,,231,106
Lissandra,Sett,,,,353,186
Mordekaiser,Seraphine,,,,747,373
Senna,Sett,,,,743,383
Diana,Galio,,,,443,240
Caitlyn,Galio,,,,1442,699
Galio,Senna,,,,458,243
Camille,MissFortune,,,,609,270
Camille,Maokai,,,,111,53
Kayn,Maokai,,,,402,197
Gwen,Senna,,,,754,352
Malphite,Malzahar,,,,833,429
Malphite,Senna,,,,595,293
Irelia,Malphite,,,,500,259
Lucian,Malphite,,,,1239,648
Ryze,Yuumi,,,,394,190
Rengar,Warwick,,,,103,57
Corki,Yorick,,,,388,200
Gangplank,Nocturne,,,,456,232
Alistar,Karma,,,,55,25
Bard,Camille,,,,97,53
Bard,Vi,,,,292,157
Hecarim,Renekton,,,,259,122
Aatrox,Vayne,,,,714,367
Hecarim,Velkoz,,,,290,140
Mel,Soraka,,,,452,212
Azir,Warwick,,,,341,166
Aurora,Xerath,,,,201,85
Ashe,Xerath,,,,1105,540
Karthus,Syndra,,,,89,43
Karthus,Lux,,,,353,159
Lissandra,Zilean,,,,81,34
AurelionSol,Hecarim,,,,151,70
AurelionSol,Jhin,,,,830,416
AurelionSol,Zilean,,,,82,38
Viktor,Vladimir,,,,214,98
Aatrox,Warwick,,,,705,388
Veigar,Viktor,,,,194,87
Fizz,Jax,,,,397,190
Fizz,Graves,,,,346,177
Fizz,Pyke,,,,324,154
Sylas,Vayne,,,,1247,625
Sylas,Udyr,,,,339,151
Udyr,Veigar,,,,259,142
DrMundo,Vayne,,,,692,371
Amumu,Rumble,,,,125,60
Ashe,Belveth,,,,262,129
Belveth,Lulu,,,,277,142
Karthus,Velkoz,,,,120,56
Kalista,Yorick,,,,269,129
Kalista,Sylas,,,,313,129
Lissandra,Sylas,,,,126,48
Kalista,Lissandra,,,,67,29
AurelionSol,Pantheon,,,,356,171
Anivia,Taliyah,,,,45,21
Malphite,Syndra,,,,440,229
Lillia,Tryndamere,,,,323,166
Lillia,Qiyana,,,,234,105
Qiyana,Senna,,,,172,79
Heimerdinger,Ryze,,,,102,46
FiddleSticks,Ryze,,,,193,99
Cassiopeia,Talon,,,,162,79
Cassiopeia,Viktor,,,,92,46
Khazix,Yuumi,,,,479,240
Jayce,Xayah,,,,353,181
Gangplank,Vi,,,,453,230
Ashe,XinZhao,,,,905,427
Ashe,Varus,,,,408,179
Singed,Zoe,,,,119,60
Kaisa,Singed,,,,661,330
Alistar,Singed,,,,189,100
Talon,Zoe,,,,222,122
Gangplank,Udyr,,,,116,59
Gangplank,Sivir,,,,221,108
Udyr,Zac,,,,39,17
Blitzcrank,Udyr,,,,164,80
Blitzcrank,Sivir,,,,258,122
DrMundo,Naafiri,,,,660,350
DrMundo,Urgot,,,,146,73
Heimerdinger,Urgot,,,,100,62
Samira,Urgot,,,,293,150
Renata,Urgot,,,,71,37
DrMundo,Heimerdinger,,,,209,107
DrMundo,Renata,,,,104,49
Aphelios,Volibear,,,,627,307
Amumu,Poppy,,,,250,133
Akshan,Poppy,,,,149,76
Akshan,Amumu,,,,276,132
Amumu,Ziggs,,,,207,97
Akshan,Ziggs,,,,130,63
Samira,Sett,,,,678,366
Rakan,Sett,,,,406,216
Gangplank,MissFortune,,,,839,402
Belveth,Swain,,,,172,86
Ambessa,Nilah,,,,90,48
Ambessa,Taric,,,,79,45
Taric,Viktor,,,,129,70
Gnar,Nocturne,,,,367,166
Gnar,Senna,,,,265,133
Garen,Zoe,,,,422,201
Caitlyn,Zoe,,,,870,437
Lillia,Renekton,,,,490,248
Volibear,Zyra,,,,802,417
Nasus,Sivir,,,,312,166
Nasus,Senna,,,,455,234
Sivir,Sylas,,,,587,275
Briar,Naafiri,,,,233,128
Briar,Twitch,,,,290,159
Lillia,Yorick,,,,584,303
AurelionSol,Lillia,,,,183,93
Malphite,Zoe,,,,293,131
Yasuo,Zoe,,,,322,156
Lillia,Mordekaiser,,,,454,226
Hwei,Lillia,,,,299,158
Teemo,Zilean,,,,228,123
Garen,Orianna,,,,503,229
Orianna,Zilean,,,,103,51
Gangplank,Leona,,,,368,192
Ambessa,MonkeyKing,,,,168,82
Ambessa,TwistedFate,,,,262,131
MonkeyKing,TwistedFate,,,,241,115
Aatrox,Ivern,,,,145,62
Trundle,Xerath,,,,499,265
Janna,Trundle,,,,174,94
Qiyana,Xerath,,,,168,78
Janna,Xerath,,,,155,85
Malzahar,Vi,,,,908,476
JarvanIV,Renata,,,,74,42
Renata,Viktor,,,,111,50
Renata,Tristana,,,,206,96
Rengar,Samira,,,,177,75
Nautilus,Rengar,,,,281,135
AurelionSol,Darius,,,,503,246
AurelionSol,Briar,,,,197,101
Pyke,Vayne,,,,669,324
Kalista,Syndra,,,,136,62
Kalista,Nami,,,,83,37
Nocturne,Syndra,,,,534,253
Sivir,Syndra,,,,254,130
Gangplank,Jax,,,,103,45
Ahri,Xerath,,,,763,389
Jhin,Xerath,,,,4050,2111
Mordekaiser,Urgot,,,,104,49
Mordekaiser,Neeko,,,,417,201
FiddleSticks,Urgot,,,,269,146
Ashe,Urgot,,,,694,356
Neeko,Urgot,,,,260,122
FiddleSticks,Neeko,,,,165,74
Rammus,Teemo,,,,350,179
Rammus,Seraphine,,,,193,109
Akshan,MissFortune,,,,611,307
Ekko,Ziggs,,,,154,64
Kaisa,Ziggs,,,,262,120
Lulu,Ziggs,,,,172,85
Draven,Zed,,,,682,337
Draven,MissFortune,,,,84,41
Blitzcrank,Naafiri,,,,840,404
LeeSin,Twitch,,,,502,229
Twitch,Vex,,,,259,125
Jhin,Vex,,,,1025,519
Fiora,Lucian,,,,648,315
Camille,Chogath,,,,118,53
Draven,Zac,,,,214,106
Draven,Leblanc,,,,394,187
Azir,Yorick,,,,474,236
FiddleSticks,Malphite,,,,486,233
FiddleSticks,Rakan,,,,180,88
Malphite,Rakan,,,,316,163
Katarina,Maokai,,,,263,119
Maokai,Sivir,,,,200,95
Karthus,Warwick,,,,129,60
Graves,Mordekaiser,,,,598,302
Anivia,Graves,,,,193,87
