Champ1,Champ2,Champ3,Champ4,Champ5,Games,Wins
FiddleSticks,Kaisa,,,,1070,560
Akali,FiddleSticks,,,,400,193
AurelionSol,Kaisa,,,,593,281
Akali,AurelionSol,,,,92,37
Akali,Kaisa,,,,1919,943
Quinn,Talon,,,,196,108
Nunu,Quinn,,,,145,66
MissFortune,Quinn,,,,753,379
Quinn,Rakan,,,,153,81
Nunu,Talon,,,,138,71
MissFortune,Talon,,,,1118,555
Rakan,Talon,,,,341,168
MissFortune,Nunu,,,,858,429
Nunu,Rakan,,,,161,73
MissFortune,Rakan,,,,729,380
Garen,Graves,,,,619,315
Garen,Nilah,,,,311,152
Garen,Thresh,,,,1477,751
Graves,Leblanc,,,,574,305
Graves,Nilah,,,,126,69
Graves,Thresh,,,,998,520
Leblanc,Nilah,,,,184,95
Leblanc,Thresh,,,,1026,481
Nilah,Thresh,,,,271,154
Kayn,Soraka,,,,653,367
Aurora,Soraka,,,,200,104
Ezreal,Soraka,,,,1264,602
Aatrox,Soraka,,,,494,241
Aurora,Kayn,,,,544,272
Ezreal,Kayn,,,,2151,1029
Aatrox,Kayn,,,,962,508
Aurora,Ezreal,,,,851,404
Aatrox,Aurora,,,,374,179
Aatrox,Ezreal,,,,2298,1092
Skarner,Zed,,,,107,43
Skarner,Sylas,,,,161,73
Caitlyn,Skarner,,,,272,124
Senna,Skarner,,,,87,38
Sylas,Zed,,,,1210,592
Caitlyn,Zed,,,,2912,1399
Senna,Zed,,,,777,374
Caitlyn,Sylas,,,,2889,1377
Senna,Sylas,,,,818,395
Caitlyn,Senna,,,,1549,748
Gragas,Viego,,,,571,295
Gragas,Leblanc,,,,302,129
Gragas,Jinx,,,,886,428
Gragas,Lulu,,,,598,293
Leblanc,Viego,,,,1223,613
Jinx,Viego,,,,2613,1311
Lulu,Viego,,,,1610,777
Jinx,Leblanc,,,,1801,868
Leblanc,Lulu,,,,1005,487
Jinx,Lulu,,,,5750,3035
Gragas,LeeSin,,,,607,287
Akali,Gragas,,,,268,125
Corki,Gragas,,,,163,82
Akali,LeeSin,,,,1401,666
Corki,LeeSin,,,,441,196
Braum,LeeSin,,,,912,437
Akali,Corki,,,,253,133
Akali,Braum,,,,569,285
Braum,Corki,,,,184,95
Hecarim,Mordekaiser,,,,403,189
Ahri,Mordekaiser,,,,1388,692
Mordekaiser,Samira,,,,675,352
Leona,Mordekaiser,,,,891,446
Ahri,Hecarim,,,,702,319
Hecarim,Samira,,,,225,118
Hecarim,Leona,,,,312,150
Ahri,Samira,,,,905,460
Ahri,Leona,,,,1346,673
Leona,Samira,,,,1017,527
Kayn,Singed,,,,396,214
Akshan,Singed,,,,130,69
Ezreal,Singed,,,,714,358
Singed,Soraka,,,,175,96
Akshan,Kayn,,,,351,175
Akshan,Ezreal,,,,487,238
Akshan,Soraka,,,,173,84
Kayle,Kindred,,,,239,117
AurelionSol,Kayle,,,,142,74
Jinx,Kayle,,,,1472,771
Kayle,Milio,,,,393,211
AurelionSol,Kindred,,,,152,72
Jinx,Kindred,,,,753,364
Kindred,Milio,,,,206,102
AurelionSol,Jinx,,,,738,397
AurelionSol,Milio,,,,172,85
Jinx,Milio,,,,1769,935
Jayce,Naafiri,,,,666,342
AurelionSol,Jayce,,,,146,58
Jayce,Kaisa,,,,1569,739
Braum,Jayce,,,,424,222
AurelionSol,Naafiri,,,,339,190
Kaisa,Naafiri,,,,2663,1318
Braum,Naafiri,,,,724,381
AurelionSol,Braum,,,,223,124
Braum,Kaisa,,,,1310,654
Talon,Urgot,,,,247,119
Leblanc,Urgot,,,,377,206
Anivia,Urgot,,,,148,76
Mel,Urgot,,,,672,332
Leblanc,Talon,,,,407,199
Anivia,Talon,,,,161,78
Mel,Talon,,,,673,310
Anivia,Leblanc,,,,86,39
Leblanc,Mel,,,,592,251
Anivia,Mel,,,,203,96
Mordekaiser,Nunu,,,,343,165
Aurora,Mordekaiser,,,,267,121
Mordekaiser,Sivir,,,,495,263
Mordekaiser,Rakan,,,,425,217
Aurora,Nunu,,,,149,72
Nunu,Sivir,,,,202,103
Aurora,Sivir,,,,218,102
Aurora,Rakan,,,,194,96
Rakan,Sivir,,,,160,72
Rumble,Vi,,,,304,152
Rumble,Sylas,,,,289,129
Ezreal,Rumble,,,,646,284
Rumble,Swain,,,,135,61
Sylas,Vi,,,,1255,600
Ezreal,Vi,,,,1920,884
Swain,Vi,,,,679,335
Ezreal,Sylas,,,,3225,1526
Swain,Sylas,,,,713,383
Ezreal,Swain,,,,1199,549
Akali,DrMundo,,,,589,281
Akali,Azir,,,,70,33
Akali,Lucian,,,,1290,638
Akali,Nami,,,,979,496
Azir,DrMundo,,,,247,116
DrMundo,Lucian,,,,796,419
DrMundo,Nami,,,,767,407
Azir,Lucian,,,,523,262
Azir,Nami,,,,387,184
Lucian,Nami,,,,6097,3096
Hecarim,MonkeyKing,,,,50,26
Ezreal,MonkeyKing,,,,1047,487
MonkeyKing,Vladimir,,,,323,164
MonkeyKing,Renata,,,,53,24
Ezreal,Hecarim,,,,814,378
Hecarim,Vladimir,,,,316,152
Hecarim,Renata,,,,63,32
Ezreal,Vladimir,,,,1360,638
Ezreal,Renata,,,,185,82
Renata,Vladimir,,,,115,66
Ahri,Briar,,,,831,440
Briar,Karthus,,,,38,18
Briar,Varus,,,,487,249
Briar,Rakan,,,,204,102
Ahri,Karthus,,,,267,138
Ahri,Varus,,,,1639,846
Ahri,Rakan,,,,725,395
Karthus,Varus,,,,239,116
Karthus,Rakan,,,,119,62
Rakan,Varus,,,,399,215
Garen,Vi,,,,909,465
AurelionSol,Garen,,,,391,197
Garen,Veigar,,,,1097,549
Garen,Twitch,,,,750,388
AurelionSol,Vi,,,,300,141
Veigar,Vi,,,,714,366
