Name,Role,Games,Wins,Losses,WR
Brand,JUNGLE,176,108,68,61.36
Brand,TOP,34,21,13,61.76
Brand,,5,0,5,0
Kalista,BOTTOM,1615,742,873,45.94
Kalista,TOP,66,29,37,43.94
Kalista,MIDDLE,19,15,4,78.95
Kalista,UTILITY,32,5,27,15.63
Kalista,JUNGLE,6,0,6,0
Zeri,BOTTOM,2260,1144,1116,50.62
Zeri,JUNGLE,36,24,12,66.67
Zeri,MIDDLE,62,45,17,72.58
Zeri,TOP,31,5,26,16.13
Zeri,UTILITY,3,0,3,0
Rumble,TOP,1295,604,691,46.64
Rumble,JUNGLE,137,62,75,45.26
Rumble,UTILITY,56,36,20,64.29
Rumble,MIDDLE,104,46,58,44.23
Rumble,BOTTOM,11,6,5,54.55
