Name,Role,Opponent,Games,Wins,Losses,WR
DrMundo,TOP,Thresh,17,17,0,100
DrMundo,TOP,Shyvana,3,0,3,0
DrMundo,TOP,AurelionSol,3,0,3,0
DrMundo,TOP,Ziggs,3,0,3,0
DrMundo,TOP,Alistar,3,3,0,100
DrMundo,TOP,Kassadin,3,3,0,100
DrMundo,TOP,Taliyah,3,3,0,100
DrMundo,TOP,Blitzcrank,3,3,0,100
DrMundo,TOP,Zeri,5,0,5,0
DrMundo,TOP,Kaisa,5,5,0,100
DrMundo,TOP,MissFortune,5,0,5,0
DrMundo,TOP,KogMaw,5,5,0,100
DrMundo,TOP,Galio,3,0,3,0
DrMundo,UTILITY,Pantheon,6,0,6,0
DrMundo,UTILITY,TahmKench,23,17,6,73.91
DrMundo,UTILITY,Swain,18,10,8,55.56
DrMundo,UTILITY,Lux,6,3,3,50
DrMundo,UTILITY,Velkoz,10,7,3,70
DrMundo,UTILITY,Alistar,3,0,3,0
DrMundo,UTILITY,Neeko,7,0,7,0
DrMundo,UTILITY,Yuumi,12,7,5,58.33
DrMundo,UTILITY,Pyke,10,0,10,0
DrMundo,UTILITY,Leona,7,7,0,100
DrMundo,UTILITY,Senna,22,0,22,0
DrMundo,UTILITY,Blitzcrank,10,0,10,0
DrMundo,UTILITY,Morgana,24,7,17,29.17
DrMundo,UTILITY,Poppy,10,10,0,100
DrMundo,UTILITY,Nami,15,10,5,66.67
DrMundo,UTILITY,Sett,7,7,0,100
DrMundo,UTILITY,Maokai,6,3,3,50
DrMundo,UTILITY,Brand,6,3,3,50
DrMundo,UTILITY,Karma,3,0,3,0
DrMundo,UTILITY,Thresh,3,3,0,100
DrMundo,UTILITY,Nautilus,3,0,3,0
DrMundo,UTILITY,Vi,3,0,3,0
DrMundo,UTILITY,Mel,3,0,3,0
DrMundo,UTILITY,Teemo,3,0,3,0
DrMundo,UTILITY,Sona,3,0,3,0
DrMundo,UTILITY,Zoe,3,0,3,0
DrMundo,UTILITY,Amumu,3,3,0,100
DrMundo,UTILITY,Rakan,3,3,0,100
DrMundo,UTILITY,Seraphine,3,3,0,100
DrMundo,UTILITY,Rell,3,0,3,0
DrMundo,UTILITY,Lulu,5,5,0,100
DrMundo,BOTTOM,Lucian,6,6,0,100
DrMundo,BOTTOM,Samira,16,16,0,100
DrMundo,BOTTOM,Caitlyn,25,5,20,20
DrMundo,BOTTOM,Varus,3,3,0,100
DrMundo,BOTTOM,MissFortune,18,8,10,44.44
DrMundo,BOTTOM,Kaisa,7,7,0,100
DrMundo,BOTTOM,Aurora,7,7,0,100
DrMundo,BOTTOM,Kalista,3,0,3,0
