Name,Games,Wins,Losses,Bans,WR
Trundle,8442,4544,3898,4487,53.83
Sivir,7216,3773,3443,1602,52.29
Rengar,6876,2760,4116,3306,40.14
Lissandra,3795,1920,1875,1661,50.59
Nasus,11846,6176,5670,8194,52.14
Naafiri,7038,3506,3532,4221,49.82
Senna,13487,6944,6543,3691,51.49
Galio,10459,5590,4869,7298,53.45
Gnar,6237,2881,3356,1559,46.19
Riven,6710,2835,3875,2823,42.25
Hecarim,5603,2696,2907,3364,48.12
AurelionSol,7090,3776,3314,2741,53.26
Ornn,6453,3413,3040,1264,52.89
Kassadin,3261,1701,1560,1981,52.16
Nidalee,3821,1598,2223,600,41.82
Fiddlesticks,0,0,0,2631,NaN
JarvanIV,5556,2976,2580,1839,53.56
Xayah,9934,4960,4974,1734,49.93
Ziggs,6717,3531,3186,2853,52.57
Taliyah,4207,2036,2171,692,48.4
Cassiopeia,6013,2935,3078,6168,48.81
Kled,3112,1572,1540,1650,50.51
Thresh,19610,9599,10011,7297,48.95
RekSai,2087,1028,1059,630,49.26
Karthus,3815,1782,2033,1147,46.71
Skarner,4826,2243,2583,6759,46.48
KSante,5584,2533,3051,5759,45.36
Syndra,8337,4308,4029,6769,51.67
Zilean,4246,2113,2133,1428,49.76
Bard,4953,2470,2483,1137,49.87
Xerath,10156,5229,4927,8642,51.49
Anivia,4691,2304,2387,3094,49.12
Elise,9127,4158,4969,5314,45.56
Janna,4750,2464,2286,1132,51.87
Akshan,5883,3047,2836,4540,51.79
Olaf,3338,1639,1699,1989,49.1
Annie,4484,2124,2360,1673,47.37
Camille,5112,2339,2773,2294,45.76
Rumble,2741,1306,1435,787,47.65
