Name,Games,Wins,Losses,Bans,WR
Rell,3606,1777,1829,1678,49.28
Anivia,1840,985,855,1361,53.53
RekSai,745,357,388,341,47.92
KogMaw,1623,828,795,926,51.02
Alistar,2977,1488,1489,1150,49.98
Zilean,1599,842,757,570,52.66
Jayce,2611,1284,1327,1727,49.18
Zoe,2154,1032,1122,1037,47.91
Kennen,1599,775,824,639,48.47
Gnar,2740,1245,1495,763,45.44
Shyvana,1276,718,558,329,56.27
Akshan,1647,802,845,1235,48.69
Kassadin,1048,555,493,802,52.96
Taliyah,1416,693,723,346,48.94
Taric,1179,614,565,418,52.08
Talon,2645,1220,1425,779,46.12
Khazix,2624,1276,1348,1723,48.63
Aphelios,2984,1483,1501,848,49.7
Naafiri,1552,772,780,933,49.74
Singed,1353,722,631,378,53.36
Bard,1716,864,852,339,50.35
Sona,960,476,484,124,49.58
Vex,2948,1532,1416,2420,51.97
Rumble,1603,754,849,439,47.04
Janna,1610,871,739,383,54.1
Nidalee,1875,807,1068,765,43.04
Brand,2927,1409,1518,3237,48.14
Fiddlesticks,0,0,0,1318,NaN
Zeri,2392,1218,1174,336,50.92
