Name,Games,Wins,Losses,Bans,WR
Nocturne,39859,21012,18847,80974,52.72
Blitzcrank,22529,10865,11664,70650,48.23
Mel,61577,29205,32372,287286,47.43
Karma,38515,19547,18968,31684,50.75
Warwick,45583,23749,21834,78703,52.1
Vladimir,20991,10379,10612,17608,49.45
Lulu,41183,20539,20644,71769,49.87
Aphelios,16048,7986,8062,3902,49.76
Darius,57590,28966,28624,106112,50.3
Viktor,27741,13820,13921,29959,49.82
Singed,8513,4376,4137,2041,51.4
LeeSin,48008,23172,24836,51724,48.27
Yasuo,61270,30723,30547,92940,50.14
Caitlyn,85706,43020,42686,109717,50.19
Yuumi,24204,11738,12466,21705,48.5
Chogath,36595,18780,17815,19539,51.32
Viego,45393,22773,22620,41812,50.17
Galio,27253,13936,13317,17958,51.14
Sivir,16499,8330,8169,3404,50.49
Pyke,24845,12061,12784,73079,48.54
Ambessa,19234,9037,10197,44604,46.98
Fizz,18473,9148,9325,29330,49.52
Amumu,32185,16790,15395,32275,52.17
Brand,23165,11678,11487,18643,50.41
Morgana,36979,18646,18333,92279,50.42
Irelia,26626,13305,13321,50860,49.97
Ahri,40044,19727,20317,18003,49.26
Jax,29551,14441,15110,18723,48.87
Syndra,19749,9978,9771,14397,50.52
Smolder,18990,9035,9955,4306,47.58
Zyra,30095,15426,14669,26927,51.26
Gragas,16752,8061,8691,5740,48.12
