Name,Games,Wins,Losses,Bans,WR
Hecarim,20496,9900,10596,12103,48.3
AurelionSol,20731,10702,10029,8381,51.62
Ornn,22275,11372,10903,4123,51.05
Kassadin,10915,5579,5336,7138,51.11
Nidalee,14826,6548,8278,4761,44.17
JarvanIV,27405,14167,13238,6916,51.69
Xayah,27283,13679,13604,4371,50.14
Ziggs,19824,10118,9706,6520,51.04
Taliyah,13237,6669,6568,2226,50.38
Cassiopeia,16292,8142,8150,16669,49.98
Kled,9559,4822,4737,4478,50.44
Thresh,70032,34979,35053,28617,49.95
RekSai,6393,3082,3311,2627,48.21
Karthus,14453,7003,7450,9692,48.45
Skarner,14950,6926,8024,24304,46.33
KSante,25055,11617,13438,23284,46.37
Syndra,31827,16120,15707,23820,50.65
Zilean,15919,8107,7812,4986,50.93
Bard,16014,8008,8006,2967,50.01
Xerath,43647,22190,21457,47849,50.84
Anivia,16331,8390,7941,10825,51.37
Elise,35169,17193,17976,42517,48.89
Janna,16990,8774,8216,3691,51.64
Akshan,18224,9140,9084,14826,50.15
Olaf,11986,5958,6028,6238,49.71
Annie,16561,8266,8295,5942,49.91
Camille,18055,8622,9433,8518,47.75
Rumble,13004,6207,6797,3821,47.73
